uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
251,Antimicrobial Agents,Antiviral Agents,,,Ribavirin,10-40,30-60/No data,0,9-15,,,,1000-1200 mg q24h,,D,1000-1200 mg q24h,100% [D],Avoid [D],Avoid [D],Avoid [D],IHD: Avoid,PD: Avoid ,"CRRT: 100%, [B]","Aebi C, Headrick CL, McCracken GH, Lindsay CA. Intravenous ribavirin therapy in a neonate with disseminated adenovirus infection undergoing extracorporeal membrane oxygenation: pharmacokinetics and clearance by hemofiltration. J Pediatr. 1997; 130: 612-5. [PMID: 9108860] / Kramer TH, Gaar GG, Ray CG, Minnich L, Copeland JG, Connor JD. Hemodialysis clearance of intravenously administered ribavirin. Antimicrob Agents Chemother. 1990; 34: 489-90. [PMID: 2334164] / Laskin OL, Longstreth JA, Hart CC, Scavuzzo D, Kalman CM, Connor JD, et al. Ribavirin disposition in high-risk patients for acquired immunodeficiency syndrome. Clin Pharmacol Ther. 1987; 41: 546-55. [PMID: 3568539] / Lertora JJ, Rege AB, Lacour JT, Ferencz N, George WJ, VanDyke RB, et al. Pharmacokinetics and long-term tolerance to ribavirin in asymptomatic patients infected with human immunodeficiency virus. Clin Pharmacol Ther. 1991; 50: 442-9. [PMID: 1680594] / Paroni R, Del Puppo M, Borghi C, Sirtori CR, Galli Kienle M. Pharmacokinetics of ribavirin and urinary excretion of the major metabolite 1,2,4-triazole-3-carboxamide in normal volunteers. Int J Clin Pharmacol Ther Toxicol. 1989; 27: 302-7. [PMID: 2737800] / Roberts RB, Laskin OL, Laurence J, Scavuzzo D, Murray HW, Kim YT, et al. Ribavirin pharmacodynamics in high-risk patients for acquired immunodeficiency syndrome. Clin Pharmacol Ther. 1987; 42: 365-73. [PMID: 2444379]",Half-life data from multiple doses. Loading dose required. Oral absorption 40%. Contraindicated for GFR <50 mL/min.
252,Antimicrobial Agents,Antiviral Agents,,,Ritonavir,3.5,3-5/4,98-99,0.4,,,,600 mg q12h,,,600 mg q12h,100% [D],100% [D],100% [D],100% [D],"IHD: None, [B] ","PD: None, [B] ","CRRT: 100%, [D]","Danner SA, Carr A, Leonard JM, Lehman LM, Gudiol F, Gonzales J, et al. A short-term study of the safety, pharmacokinetics, and efficacy of ritonavir, an inhibitor of HIV-1 protease. European-Australian Collaborative Ritonavir Study Group. N Engl J Med. 1995; 333: 1528-33. [PMID: 7477167] / Hsu A, Granneman GR, Witt G, Locke C, Denissen J, Molla A, et al. Multiple-dose pharmacokinetics of ritonavir in human immunodeficiency virus-infected subjects. Antimicrob Agents Chemother. 1997; 41: 898-905. [PMID: 9145841] / Izzedine H, Launay-Vacher V, Legrand M, Aymard G, Deray G. Pharmacokinetics of ritonavir and saquinavir in a haemodialysis patient [Letter]. Nephron. 2001; 87: 186-7. [PMID: 11244316] / Markowitz M, Saag M, Powderly WG, Hurley AM, Hsu A, Valdes JM, et al. A preliminary study of ritonavir, an inhibitor of HIV-1 protease, to treat HIV-1 infection. N Engl J Med. 1995; 333: 1534-9. [PMID: 7477168]",Many drug interactions.
253,Antimicrobial Agents,Antiviral Agents,,,Saquinavir,<4,7-12/12,98,10,,,,600-1200 mg q8h,,,600-1200 mg q8h,100% [D],100% [D],100% [D],100% [D] ,"IHD: None, [B] ","PD: No data: Dose for GFR <10, [D]","CRRT: 100%, [D]","Izzedine H, Launay-Vacher V, Legrand M, Aymard G, Deray G. Pharmacokinetics of ritonavir and saquinavir in a haemodialysis patient [Letter]. Nephron. 2001; 87: 186-7. [PMID: 11244316]",
254,Antimicrobial Agents,Antiviral Agents,,,Stavudine,35-40,1.0-1.4/5.5-8.0,<1,0.5,,,,40 mg (>60 kg) q12h ,Second Dose: 30 mg (<60 kg) q12h,"D, I",40 mg (>60 kg) q12h ,100% [D],50% q12-24h [D],50% q12-24h [D],50% q24h [D],IHD: Dose for GFR <10 (after dialysis),PD: No data,"CRRT: 100%, [B]","Dudley MN, Graham KK, Kaul S, Geletko S, Dunkle L, Browne M, et al. Pharmacokinetics of stavudine in patients with AIDS or AIDS-related complex. J Infect Dis. 1992; 166: 480-5. [PMID: 1323615] / Grasela DM, Stoltz RR, Barry M, Bone M, Mangold B, O&#146; Grady P, et al. Pharmacokinetics of single-dose oral stavudine in subjects with renal impairment and in subjects requiring hemodialysis. Antimicrob Agents Chemother. 2000; 44: 2149-53.[PMID: 10898689] / Horton CM, Dudley MN, Kaul S, Mayer KH, Squires K, Dunkle L, et al. Population pharmacokinetics of stavudine (d4T) in patients with AIDS or advanced AIDS-related complex. Antimicrob Agents Chemother. 1995; 39: 2309-15. [PMID: 8619587]",
255,Antimicrobial Agents,Antiviral Agents,,,Tenofovir,70-80,8-12,7,1.2-1.3,,,,300 mg q24h,,,300 mg q24h,100% [D],Avoid [D],Avoid [D],Avoid [D],"IHD: Avoid, [D]","PD: Avoid, [D] ","CRRT: Dose for GFR 10-50, [B]","Izzedine H, Launay-Vacher V, Jullien V, Aymard G, Duvivier C, Deray G. Pharmaco-kinetics of tenofovir in haemodialysis. Nephrol Dial Transplant. 2003; 18: 1931-3. [PMID: 12937248]",Acute renal failure and Fanconi syndrome reported. Drug is administered as prodrug tenofovir disoproxil fumarate. No information available on dosing in subjects with reduced GFR or on dialysis. Manufacturer recommends avoiding use when CrCl <60 mL/min.
256,Antimicrobial Agents,Antiviral Agents,,,Valacyclovir,<1,,,,,,,500 mg q12h, Second Dose: to 1000 mg q8h (depends on indication),"D, I",500 mg q12h,100% [D],Full dose q12-24h [D],Full dose q12-24h [D],0.5 g q24h [D],IHD: Dose after dialysis,PD: Dose for GFR <10,"CRRT: Not applicable, recommend IV form","Soul-Lawton J, Seaber E, On N, Wootton R, Rolan P, Posner J. Absolute bioavailability and metabolic disposition of valaciclovir, the L-valyl ester of acyclovir, following oral administration to humans. Antimicrob Agents Chemother. 1995; 39: 2759-64. [PMID: 8593015] / Weller S, Blum MR, Doucette M, Burnette T, Cederberg DM, de Miranda P, et al. Pharmacokinetics of the acyclovir pro-drug valaciclovir after escalating single-and multiple-dose administration to normal volunteers. Clin Pharmacol Ther. 1993; 54: 595-605. [PMID: 8275615]",Rapidly and extensively converted to acyclovir. Bioavailability of valacyclovir is 50-55% versus 10-20% for standard oral acyclovir (q.v.) preparations. Other pharmacokinetic variables and toxicities as for acyclovir. 
257,Antimicrobial Agents,Antiviral Agents,,,Valganciclovir,>90,4/10-67.5,1-2,0.7,,,,"900 mg bid (induction), 900 mg daily (maintenance)",,,"900 mg bid (induction), 900 mg daily (maintenance)",See notes [A],See notes [A],See notes [A],See notes [A],IHD: Avoid,PD: Avoid ,CRRT: See notes,"Czock D, Scholle C, Rasche FM, Schaarschmidt D, Keller F. Pharmacokinetics of valganciclovir and ganciclovir in renal impairment. Clin Pharmacol Ther. 2002; 72: 142-50. [PMID: 12189361]","Valganciclovir is rapidly converted to ganciclovir (q.v.). Pharmokinetic data are for ganciclovir. HD reduces plasma concentration of ganciclovir by ~50%. Dosing recommended by manufacturer&#151; Induction: CrCl 40-59 mL/min, 450 mg bid; CrCl 25-39 mL/min, 450 mg qd; CrCl 10-24 mL/min, 450 mg q2d. Maintenance: CrCl 40-59 mL/min, 450 mg qd; CrCl 25-39 mL/min, 450 mg q2d; CrCl 10-24 mL/min, 450 mg twice weekly."
258,Antimicrobial Agents,Antiviral Agents,,,Zalcitabine,75,1-2/>8,<4,0.54,,,,0.75 mg q8h,,"I, D",0.75 mg q8h,100% [D],q12h[D],q12h[D],q24h[D],IHD: No data: Dose after dialysis,PD: No data,"CRRT: 0.75 mg q12h, [D]","Gustavson LE, Fukuda EK, Rubio FA, Dunton AW. A pilot study of the bioavailability and pharmacokinetics of 2&#146; ,3&#146; -dideoxycytidine in patients with AIDS or AIDS-related complex. J Acquir Immune Defic Syndr. 1990; 3: 28-31. [PMID: 2152803] / Klecker RW Jr, Collins JM, Yarchoan RC, Thomas R, McAtee N, Broder S, et al. Pharmacokinetics of 2&#146; ,3&#146; -dideoxycytidine in patients with AIDS and related disorders. J Clin Pharmacol. 1988; 28: 837-42. [PMID: 2852679]",
259,Antimicrobial Agents,Antiviral Agents,,,Zanamivir,90,2.5-5/4.7-18.5,<10,0.2,,,,10 mg (by inhalation) q12h,,,10 mg (by inhalation) q12h,100% [D],100% [D],100% [D],100% [D],"IHD: No dose adjustment, [D]","PD: No dose adjustment, [D]","CRRT: 100%, [B]","Cass LM, Efthymiopoulos C, Marsh J, Bye A. Effect of renal impairment on the pharmacokinetics of intravenous zanamivir. Clin Pharmacokinet. 1999; 36 Suppl 1: 13-9. [PMID: 10429836]",Bioavailability from inhalation and systemic exposure to drug is low.
260,Antimicrobial Agents,Antiviral Agents,,,Zidovudine,8-25,1.1-1.4/1.4-3,10-30,1.4-3,,,,200 mg q8h,Second Dose: 300 mg q12h,"D, I",200 mg q8h,100% [B],100% [B],100% [B],100 mg q8h [B],IHD: Dose for GFR <10,PD: Dose for GFR <10,"CRRT: 100%, [B]","Deray G, Diquet B, Martinez F, Vidal AM, Petitclerc T, Ben Hmida M, et al. Pharmacokinetics of zidovudine in a patient on maintenance hemodialysis [Letter]. N Engl J Med. 1988; 319: 1606-7. [PMID: 3200272] / Gallicano KD, Tobe S, Sahai J, McGilveray IJ, Cameron DW, Kriger F, et al. Pharmacokinetics of single and chronic dose zidovudine in two HIV positive patients undergoing continuous ambulatory peritoneal dialysis (CAPD). J Acquir Immune Defic Syndr. 1992; 5: 242-50. [PMID: 1740749] / Gleason J, Brier ME. Zidovudine: therapeutic recommendations for its use in renal failure. Semin Dial. 1990; 3: 101-4. [PMID unavailable] / Klecker RW Jr, Collins JM, Yarchoan R, Thomas R, Jenkins JF, Broder S, et al. Plasma and cerebrospinal fluid pharmacokinetics of 3&#146; -azido-3&#146; -deoxythymidine: a novel pyrimidine analog with potential application for the treatment of patients with AIDS and related diseases. Clin Pharmacol Ther. 1987; 41: 407-12. [PMID: 3549120] / Kremer D, Munar MY, Kohlhepp SJ, Swan SK, Stinnett EA, Gilbert DN, et al. Zidovudine pharmacokinetics in five HIV seronegative patients undergoing continuous ambulatory peritoneal dialysis. Pharmacotherapy. 1992; 12: 56-60. [PMID: 1549540] / Singlas E, Pioger JC, Taburet AM, Colin JN, Fillastre JP. Zidovudine disposition in patients with severe renal impairment: influence of hemodialysis. Clin Pharmacol Ther. 1989; 46: 190-7. [PMID: 2758728] / Tartaglione TA, Holeman E, Opheim K, Smith T, Collier AC. Zidovudine disposition during hemodialysis in a patient with acquired immunodeficiency syndrome. J Acquir Immune Defic Syndr. 1990; 3: 32-4. [PMID: 2293640]",Enormous interpatient variation. Metabolite renally excreted.
261,Miscellaneous Agents,Anticoagulants,,,Alteplase (tissue-type plasminogen activator [tPa]),No data,0.5,No data,0.1,,,,"60 mg over 1 h, then 20 mg/h for 2 h",,D,"60 mg over 1 h, then 20 mg/h for 2 h",100% [D],100% [D],100% [D],100% [D],"IHD: No data, [D]","PD: No data, [D]","CRRT: Dose for GFR 10-50, [D]",,Do not give within 10 days of surgery or kidney biopsy.
262,Miscellaneous Agents,Anticoagulants,,,Anistreplase,No data,1.2,No data,0.08,,,,30 U over 2-5 min,,D,30 U over 2-5 min,100% [D],100% [D],100% [D],100% [D],"IHD: Avoid, [D]","PD: Avoid, [D] ","CRRT: Dose for GFR 10-50, [D]",,Enhances bleeding in patients predisposed to bleed because of CKD.
263,Miscellaneous Agents,Anticoagulants,,,Dipyridamole,No data,12/No data,99,2.4,,,,50 mg tid,,D,50 mg tid,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: Dose for GFR <10, [D]",CRRT: Not applicable,"FitzGerald GA. Dipyridamole. N Engl J Med. 1987; 316: 1247-57. [PMID: 3553945] / Mahony C, Wolfram KM, Cocchetto DM, Bjornsson TD. Dipyridamol kinetics. Clin Pharmacol Ther. 1982; 31: 330-8. [PMID: 7060316]",Adds to uremic platelet defect.
264,Miscellaneous Agents,Anticoagulants,,,Heparin,None,0.3-2/Unchanged,>90,0.06-0.1,,,,"75 U/kg load, then 0.5 U/kg/min",,D,"75 U/kg load, then 0.5 U/kg/min",100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A] ","CRRT: Dose for GFR 10-50, [D]","Kandrotas RJ. Heparin pharmacokinetics and pharmacodynamics. Clin Pharmacokinet. 1992; 22: 359-74. [PMID: 1505142] / Perry PJ, Herron GR, King JC. Heparin half-life in normal and impaired renal function. Clin Pharmacol Ther. 1974; 16: 514-9. [PMID: 4413659] / Teien AN, Bjoornson J. Heparin elimination in uraemic patients on Haemodialysis. Scand J Haematol. 1976; 17: 29-35. [PMID: 959771]",May add to bleeding tendency in CKD 4-5. Half-life increases with dose.
265,Miscellaneous Agents,Anticoagulants,,,Heparin (low-molecular-weight), No data,2.2-6.0/4-10,No data,0.06-0.13,,,,30-40 mg bid,,D,30-40 mg bid,100% [B],100% [B],100% [B],50% [B],"IHD: Not applicable, [D]","PD: Dose for GFR <10, [D]","CRRT: 50% and monitor Xa, [D]",Weitz JI. Low-molecular-weight heparins. N Engl J Med. 1997; 337: 688-98. [PMID: 9278467],Bleeding may be enhanced in patients with uremic platelet defects.
266,Miscellaneous Agents,Anticoagulants,,,Iloprost,No data,0.3-0.5/Unchanged,No data,0.7,,,,0.5-2.0 ng/kg/min for 5-12 h ,,D,0.5-2.0 ng/kg/min for 5-12 h ,100% [A],100% [A],100% [A],50% [A],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Hildebrand M, Krause W, Fabian H, Koziol T, Neumayer HH. Pharmacokinetics of iloprost in patients with chronic renal failure and on maintenance haemodialysis. Int J Clin Pharmacol Res. 1990; 10: 285-92. [PMID: 1706685]",
267,Miscellaneous Agents,Anticoagulants,,,Indobufen,<15,6-7/27-33,>99,0.18-0.21,,0.010827,0.219408,100-200 mg bid,,D,100-200 mg bid,100% [A],50% [A],50% [A],25% [A],IHD: No data,PD: No data,CRRT: Not applicable,"Savazzi GM, Castiglioni A, Cavatorta A. Effect of renal insufficiency on the pharmacokinetics of indobufen. Curr Therap Res. 1984; 36: 119-25. [PMID unavailable] / Wiseman LR, Fitton A, Buckley MM. Indobufen. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in cerebral, peripheral and coronary vascular disease. Drugs. 1992; 44: 445-64. [PMID: 1382938]",
268,Miscellaneous Agents,Anticoagulants,,,Streptokinase,None,0.6-1.5/No data,No data,0.02-0.08,,,,"250,000 U load, then 100,000 U/h ",,D,"250,000 U load, then 100,000 U/h ",100% [B],100% [B],100% [B],100% [B],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, [D]","Grierson DS, Bjornsson TD. Pharmacokinetics of streptokinase in patients based on amidolytic activator complex activity. Clin Pharmacol Ther. 1987; 41: 304-13. [PMID: 3816018]",Rarely used because of newer agents.
269,Miscellaneous Agents,Anticoagulants,,,Sulfinpyrazone,25-50,2.2-5.0/Unchanged,>95,0.06,,,,200 mg bid,,D,200 mg bid,100% [B],50% [B],50% [B],Avoid [B],"IHD: None, [D]","PD: None, [D] ",CRRT: Not Applicable,"Margulies EH, White AM, Sherry S. Sulfinpyrazone: a review of its pharmacological properties and therapeutic use. Drugs. 1980; 20: 179-97. [PMID: 7000488] / Pedersen AK, Jakobsen P, Kampmann JP, Hansen JM. Clinical pharmacokinetics and potentially important drug interactions of sulphinpyrazone. Clin Pharmacokinet. 1982; 7: 42-56. [PMID: 7042172]",Acute renal failure. Uricosuric effect at low GFR. Ineffective in renal insufficiency.
270,Miscellaneous Agents,Anticoagulants,,,Sulotroban,52-62,0.7-3/9-39,No data,0.7-0.8,,,,No data,,D,No data,50% [D],30% [D],30% [D],10% [D],IHD: No data,PD: No data,"CRRT: No data, not on market",,
271,Miscellaneous Agents,Anticoagulants,,,Ticlopidine,2,24-33/No data,98,No data,,,,250 mg bid,,D,250 mg bid,100% [B],100% [B],100% [B],100% [B],"IHD: None, [D]","PD: None, [D] ",CRRT: Not applicable,"Kelly JG, O&#146; Malley K. Clinical pharmacokinetics of oral anticoagulants. Clin Phar-macokinet. 1979; 4: 1-15. [PMID: 369763] / Saltiel E, Ward A. Ticlopidine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in platelet-dependent disease states. Drugs. 1987; 34: 222-62. [PMID: 3304967] / VanPeer A, Belpaire F, Bogaert M. Warfarin elimination and responsiveness in patients with renal dysfunction [Letter]. J Clin Pharmacol. 1978; 18: 84. [PMID: 618922]",
272,Miscellaneous Agents,Anticoagulants,,,Tranexamic acid,90,1.5/No data,3,No data,,,,25 mg/kg tid-qid,,D,25 mg/kg tid-qid,50% [D],25% [D],25% [D],10% [D],"IHD: Avoid, [D]","PD: Avoid, [D] ","CRRT: Dose for GFR 10-50, [D]","Astedt B. Clinical pharmacology of tranexamic acid. Scand J Gastroenterol Suppl. 1987; 137: 22-5. [PMID: 3321402] / Pilbrant A, Schannong M, Vessman J. Pharmacokinetics and bioavailability of tranexamic acid. Eur J Clin Pharmacol. 1981; 20: 65-72. [PMID: 7308275]",
273,Miscellaneous Agents,Anticoagulants,,,Urokinase,No data,No data,No data,No data,,,,"4400 U/kg load, then 4400 U/kg qh",,D,"4400 U/kg load, then 4400 U/kg qh",100% [B],100% [B],100% [B],100% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, not available, [D]",,
274,Miscellaneous Agents,Anticoagulants,,,Warfarin,None,34-45/Unchanged,99,0.15,,,,"10-15 mg load, then 2-10 mg q24h",,D,"10-15 mg load, then 2-10 mg q24h",100% [A],100% [A],100% [A],100% [A],"IHD: None, [B] ","PD: None, [B] ","CRRT: 100%, [D]",,Follow INR. Decreased protein binding in uremia.
275,Miscellaneous Agents,Anticoagulants,Anticonvulsants,,Carbamazepine,2-3,25-65 single; 12-17 chronic/Unchanged,75,0.8-1.6,,,,200 mg bid ,Second Dose: to 1200 mg q24h,D,200 mg bid ,100% [A],100% [A],100% [A],75 % [D],"IHD: Dose for GFR <10, give after dialysis, [B]","PD: Dose for GFR <10, [D]","CRRT: 100%, [B]","Bertilsson L, Tomson T. Clinical pharmacokinetics and pharmacological effects of carbamazepine and carbamazepine-10,11-epoxide. An update. Clin Pharmacokinet. 1986; 11: 177-98. [PMID: 3524954] / Bock E, Keller F, Heitz J, Heinemeyer G. Treatment of carbamazepine poisoning by combined hemodialysis/hemoperfusion. Int J Clin Pharmacol Ther Toxicol. 1989; 27: 490-2. [PMID: 2684869] / Kielstein JT, Schwarz A, Arnavaz A, Sehlberg O, Emrich HM, Fliser D. High-flux hemodialysis&#151; an effective alternative to hemoperfusion in the treatment of carbamazepine intoxication. Clin Nephrol. 2002; 57: 484-6. [PMID: 12078955] / Lee CS, Wang LH, Marbury TC, Bruni J, Perchalski RJ. Hemodialysis clearance and total body elimination of carbamazepine during chronic hemodialysis. Clin Toxicol. 1980; 17: 429-38. [PMID: 7449356] / Milonovich LM, Headrick CL, Seikaly M, Morriss FC. Charcoal hemoperfusion via a continuous venovenous hemofiltration circuit to treat carbamazepine overdose. Crit Care Nurse. 2001; 21: 25-8. [PMID: 11767761] / Rouan MC, Lecaillon JB, Godbillon J, Menard F, Darragon T, Meyer P, et al. The effect of renal impairment on the pharmacokinetics of oxcarbazepine and its metabolites. Eur J Clin Pharmacol. 1994; 47: 161-7. [PMID: 7859804] / Tapolyai M, Campbell M, Dailey K, Udvari-Nagy S. Hemodialysis is as effective as hemoperfusion for drug removal in carbamazepine poisoning. Nephron. 2002; 90: 213-5. [PMID: 11818708]","Rare aplastic anemia, agranulocytosis. Thrombocytopenia. Increases antidiuretic hormone secretion. Usual adult therapeutic levels are between 4 and 12 &#181;g/mL. CYP 3A4 inhibitors inhibit carbamazepine metabolism and can thus increase plasma carbamazepine levels. CYP 3A4 inducers can increase the rate of carbamazepine metabolism."
276,Miscellaneous Agents,Anticoagulants,Anticonvulsants,,Clonazepam,<1,18-28/No data,86,1.5-4.5,,,,0.5 mg tid,,,0.5 mg tid,100% [D],100% [D],100% [D],100% [D],IHD: None ,PD: No data,CRRT: Not applicable,"Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Treiman DM. Pharmacokinetics and clinical use of benzodiazepines in the management of status epilepticus. Epilepsia. 1989; 30 Suppl 2: S4-10. [PMID: 2670537]","May cause excessive sedation and encephalopathy in ESRD. Although no dose reduction is recommended, the drug has not been studied in patients with renal impairment. Recommendations are based on known drug characteristics, not clinical trials data."
